City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chonchi,-42.6128,-73.8092,17.29,81,98,2.61,CL,1735258153
1,college,64.8569,-147.8028,-15.85,70,100,0.0,US,1735258154
2,port-aux-francais,-49.35,70.2167,5.17,81,70,15.62,TF,1735258155
3,nagqu,31.5,92.0,-14.76,34,0,0.9,CN,1735258156
4,shaowu,27.3409,117.4831,10.36,71,100,1.12,CN,1735258158
5,san antonio de pale,-1.4014,5.6325,26.29,80,65,1.04,GQ,1735258159
6,aykhal,66.0,111.5,-22.37,99,100,1.87,RU,1735258160
7,berezovo,63.9381,65.0419,-11.08,96,84,3.53,RU,1735258161
8,whitehorse,60.7161,-135.0538,-6.88,94,100,3.93,CA,1735258162
9,ghanzi,-21.5667,21.7833,22.4,76,93,4.43,BW,1735258163
10,yamethin,20.4333,96.15,17.71,81,12,2.42,MM,1735258164
11,susuman,62.7833,148.1667,-24.29,96,100,2.01,RU,1735258166
12,stanley,54.868,-1.6985,6.01,100,100,2.06,GB,1735258167
13,vilyuchinsk,52.9306,158.4028,-11.85,83,97,1.96,RU,1735258168
14,weno,7.4515,151.8468,29.97,79,100,3.6,FM,1735258169
15,yellowknife,62.456,-114.3525,-14.47,97,99,2.99,CA,1735258086
16,mogadishu,2.0371,45.3438,24.3,77,61,8.6,SO,1735257920
17,waitangi,-43.9535,-176.5597,16.57,99,100,2.24,NZ,1735258173
18,lebu,-37.6167,-73.65,14.68,91,5,7.6,CL,1735258174
19,saipan,15.1355,145.701,31.39,80,40,5.14,MP,1735258175
20,kapuskasing,49.4169,-82.4331,-2.86,88,100,3.85,CA,1735258176
21,adamstown,-25.066,-130.1015,24.73,74,11,3.99,PN,1735258177
22,talnakh,69.4865,88.3972,-25.78,97,77,4.63,RU,1735258179
23,yelizovo,53.1873,158.3805,-11.92,67,75,4.0,RU,1735258180
24,harper,4.375,-7.7169,26.44,82,31,2.28,LR,1735258181
25,iskateley,67.6803,53.1512,-4.82,94,100,4.46,RU,1735258182
26,afaahiti,-17.75,-149.2833,26.43,76,100,5.99,PF,1735258183
27,xilin hot,43.9667,116.0333,-17.79,80,76,5.05,CN,1735258184
28,paraiso,9.8383,-83.8656,19.12,99,100,1.66,CR,1735258185
29,constantia,44.1833,28.65,1.5,76,99,9.43,RO,1735258186
30,howard springs,-12.497,131.047,33.26,71,89,0.91,AU,1735258188
31,srivardhan,18.0333,73.0167,22.44,78,21,2.82,IN,1735258189
32,plastun,44.7561,136.2939,-15.81,55,82,6.11,RU,1735258190
33,albany,42.6001,-73.9662,-8.53,86,5,0.76,US,1735258191
34,port alfred,-33.5906,26.891,25.31,64,79,5.1,ZA,1735258192
35,avarua,-21.2078,-159.775,28.03,89,100,4.12,CK,1735258194
36,mthatha,-31.5889,28.7844,19.08,80,100,2.16,ZA,1735258195
37,malango,-2.9627,119.9001,22.93,79,100,0.59,ID,1735258196
38,blackmans bay,-43.0167,147.3167,18.07,55,76,3.13,AU,1735258197
39,belmonte,-15.8631,-38.8828,25.16,80,69,4.13,BR,1735258198
40,muisne,0.6,-80.0333,24.55,82,66,4.19,EC,1735258199
41,lodja,-3.4833,23.4333,20.5,99,99,0.31,CD,1735258201
42,fort bragg,35.139,-79.006,8.28,67,100,0.45,US,1735258202
43,margaret river,-33.95,115.0667,18.33,59,68,3.93,AU,1735258203
44,salto de agua,17.6167,-92.3667,23.42,90,32,0.96,MX,1735258204
45,waiuku,-37.25,174.75,20.93,66,24,6.31,NZ,1735258205
46,camabatela,-8.1881,15.375,16.23,98,86,0.45,AO,1735258206
47,upington,-28.4478,21.2561,25.27,51,66,2.04,ZA,1735258208
48,slave lake,55.2834,-114.769,-2.99,85,100,2.44,CA,1735258209
49,wailua homesteads,22.0669,-159.378,26.74,73,20,3.09,US,1735258210
50,la'ie,21.6477,-157.9253,28.39,67,77,0.89,US,1735258211
51,oxapampa,-10.5775,-75.4017,15.98,99,98,0.68,PE,1735258212
52,tevriz,57.509,72.4042,-7.22,95,100,2.92,RU,1735258214
53,ca mau,9.1769,105.15,24.92,89,71,3.03,VN,1735257948
54,west island,-12.1568,96.8225,26.99,94,75,2.57,CC,1735258216
55,karratha,-20.7377,116.8463,32.36,51,50,4.0,AU,1735258217
56,bilibino,68.0546,166.4372,-36.55,100,100,1.03,RU,1735258220
57,puerto natales,-51.7236,-72.4875,10.3,62,47,6.18,CL,1735258221
58,smithers,54.7804,-127.1743,-1.12,98,100,0.45,CA,1735258222
59,kasempa,-13.4584,25.8338,18.19,90,41,1.49,ZM,1735258223
60,lobujya,27.95,86.8167,-11.81,23,0,1.89,NP,1735258226
61,hawaiian paradise park,19.5933,-154.9731,27.73,76,75,5.66,US,1735258227
62,orenburg,51.7727,55.0988,-2.99,97,79,2.82,RU,1735258228
63,guerrero negro,27.9769,-114.0611,16.66,68,57,5.29,MX,1735258229
64,gua musang,4.8823,101.9644,22.33,95,72,0.41,MY,1735258230
65,harstad,68.799,16.5293,0.9,96,100,8.49,NO,1735258231
66,grytviken,-54.2811,-36.5092,7.54,82,97,2.1,GS,1735258233
67,port elizabeth,-33.918,25.5701,25.73,83,90,0.45,ZA,1735258234
68,nova sintra,14.8667,-24.7167,23.84,74,4,3.74,CV,1735258235
69,bethel,41.3712,-73.414,-1.91,71,0,1.54,US,1735257983
70,puerto ayora,-0.7393,-90.3518,23.27,84,66,3.87,EC,1735258237
71,wakkanai,45.4094,141.6739,-5.01,80,75,11.83,JP,1735258238
72,codrington,-38.2667,141.9667,14.3,59,89,6.79,AU,1735258239
73,pisco,-13.7,-76.2167,22.03,73,15,5.66,PE,1735258241
74,kodiak,57.79,-152.4072,0.73,86,0,1.54,US,1735258095
75,papatowai,-46.5619,169.4708,16.24,58,12,4.42,NZ,1735258243
76,takoradi,4.8845,-1.7554,26.65,86,7,3.18,GH,1735258179
77,yamrat,10.1116,9.826,17.09,18,26,1.91,NG,1735258245
78,rabo de peixe,37.8,-25.5833,17.77,99,20,2.06,PT,1735258246
79,papao,-17.75,-149.55,29.82,71,99,5.54,PF,1735258248
80,coahuayana de hidalgo,18.7,-103.6583,23.68,46,0,1.52,MX,1735258249
81,kegeyli shahar,42.7767,59.6078,-1.37,80,62,3.31,UZ,1735258250
82,atkarsk,51.8718,45.0078,-14.54,99,40,0.84,RU,1735258251
83,kudymkar,59.0173,54.656,-2.67,92,99,4.7,RU,1735258252
84,bredasdorp,-34.5322,20.0403,21.35,91,39,3.73,ZA,1735258253
